Column1	Column2
DONATELLO (1386-1466)	  EARLY RENAISSANCE
    Leon Battista Alberti (1404-1472)	EARLY RENAISSANCE
fra filippo lippi (c.1406-1469)	EARLY RENAISSANCE
Albrecht Durer (1471-1528)
Alessandro BOTTICELLi (1445-1510)	EARLY RENAISSANCE
Leonardo da Vinci (1452-1519)	HIGH RENAISSANCE
Filippino        Lippi (1457-1504)	HIGH RENAISSANCE
Titian (c.1485-1576)	HIGH RENAISSANCE
Titian (c.1485-1576)	HIGH RENAISSANCE
Raphael  (1483-1520)	HIGH RENAISSANCE
Raphael  (1483-1520)	HIGH RENAISSANCE
Andrea del Sarto             (1486-1530)	HIGH RENAISSANCE
Giovanni Bellini (1430-1516)	HIGH RENAISSANCE
PaolO VeroNese (1528-1588)	HIGH RENAISSANCE
Jan van Eyck (1390-1441)	HIGH RENAISSANCE
Roger Van der Weyden (1400-1464)	HIGH RENAISSANCE
Leonardo da Vinci (1452-1519)
Leonardo da Vinci (1452-1519)	HIGH RENAISSANCE
Albrecht Durer (1471-1528)	HIGH RENAISSANCE
JAN Davidsz de Heem (1606-1683)	REALISM
Willem Kalf (1619-1693)	REALISM
Samuel Van Hoogstraten (1627-1678)	REALISM
Jan Vermeer (1632-1675)	REALISM
Francisco Goya (1746-1828)	ROMANTICISM
William Blake (1757-1827)	ROMANTICISM
Antoine-Jean Gros (1771-1835)	ROMANTICISM
William Hogarth (1697-1764)	Figurative Painting
Allan Ramsay (1713-1784)	Figurative Painting
Joshua Reynolds (1723-1792)	Figurative Painting
George Stubbs (1724-1806)	Figurative Painting
Thomas Gainsborough (1727-1788)	Figurative Painting
Joseph Wright of Derby (1734-1797)	Figurative Painting
Henry Fuseli (1741-1825)	Figurative Painting
Henry Raeburn (1756-1823)	Figurative Painting
William Blake (1757-1827)	Figurative Painting
Thomas Lawrence (1769-1830)	Figurative Painting
David Wilkie (1785-1841)	Figurative Painting
Edwin Landseer (1802-1873)	Figurative Painting
Alfred Stevens (1817-1875)	Figurative Painting
George Frederick Watts (1817-1904)	Figurative Painting
William Powell Frith (1819-1909)	Figurative Painting
Frederic Leighton (1830-1896)	Figurative Painting
William Morris (1834-1896)	Figurative Painting
Lawrence Alma-Tadema (1836-1912)	Figurative Painting
Richard Wilson (1714-1782)	Landscape Painting
John Crome (1768-1821)	Landscape Painting
Thomas Girtin (1775-1802)	Landscape Painting
JMW Turner (1775-1851)	Landscape Painting
John Constable (1776-1837)	Landscape Painting
John Sell Cotman (1782-1842)	Landscape Painting
John Martin (1789-1854)	Landscape Painting
Richard Parkes Bonington (1802-1828)	Landscape Painting
Benjamin West (1738-1820)	Figurative Painting
John Singleton Copley (1738-1815)	Figurative Painting
Gilbert Stuart (1755-1828)	Figurative Painting
Emanuel Gottlieb Leutze (1816-1868)	Figurative Painting
Winslow Homer (1836-1910)	Figurative Painting
Thomas Eakins (1844-1916)	Figurative Painting
John Singer Sargent (1856-1925)	Figurative Painting
Frederic Remington (1861-1909)	Figurative Painting
Thomas Cole (1801-1848)	Landscape Painting
George Caleb Bingham (1811-1879)	Landscape Painting
George Inness (1825-1894)	Landscape Painting
Frederic Edwin Church (1826-1900)	Landscape Painting
Albert Bierstadt (1830-1902)	Landscape Painting
Albert Pinkham Ryder (1847-1917)	Landscape Painting
Hokusai (1760-1849)	Ukiyo-e Artists
Hiroshige (1797-1858)	Ukiyo-e Artists
Caspar David Friedrich (1774-1840)	Romanticism
Theodore Gericault (1791-1824)	Romanticism
Paul Delaroche (1797-1856)	Romanticism
Eugene Delacroix (1798-1863)	Romanticism
Ferdinand Georg Waldmuller (1793-1865)	Realism
Gustave Courbet (1819-1877)	Realism
Jean-Leon Gerome (1824-1904)	Realism
Franz von Lenbach (1836-1904)	Realism
Edouard Manet (1832-1883)	Impressionism
Claude Monet (1840-1926)	Impressionism
Camille Pissarro (1830-1903)	Impressionism
Frederic Bazille (1841-1870)	Impressionism
Pierre-Auguste Renoir (1841-1919)	Impressionism
Alfred Sisley (1839-1899)	Impressionism
Edgar Degas (1834-1917)	Impressionism
Berthe Morisot (1841-1895)	Impressionism
Georges Seurat (1859-1891)	Neo-Impressionism
Paul Signac (1863-1935)	Neo-Impressionism
Henri-Edmond Cross (1856-1910)	Neo-Impressionism
Paul Cezanne (1839-1906)	Post-Impressionism
Vincent Van Gogh (1853-1890)	Post-Impressionism
Walter Sickert (1860-1942)	Post-Impressionism
Henri de Toulouse-Lautrec (1864-1901)	Post-Impressionism
Vilhelm Hammershoi (1864-1916)	Post-Impressionism
Emile Bernard (1868-1941)	Post-Impressionism
Vasily Perov (1833-1882)	Figurative Painting
Konstantin Savitsky (1844-1905)	Figurative Painting
Ilya Repin (1844-1930)	Figurative Painting
Vasily Surikov (1848-1916)	Figurative Painting
Mikhail Vrubel (1856-1910)	Figurative Painting
Valentin Serov (1865-1911)	Figurative Painting
Ivan Shishkin (1832-1898)	Landscape Painting
Vasily Polenov (1844-1927)	Landscape Painting
Isaac Levitan (1860-1900)	Landscape Painting
Jules Cheret (1836-1932)	Art Nouveau
Antoni Gaudi (1852-1926)	Art Nouveau
Gustav Klimt (1862-1918)	Art Nouveau
